10;1;2.069µs
10;1;4.181µs
10;1;1.38µs
10;1;1.207µs
10;1;1.181µs
10;1;1.108µs
10;1;1.212µs
10;1;1.149µs
10;1;4.259µs
10;1;1.577µs
100;1;13.251µs
100;1;8.935µs
100;1;8.614µs
100;1;9.099µs
100;1;10.975µs
100;1;8.821µs
100;1;9.74µs
100;1;14.068µs
100;1;13.464µs
100;1;17.259µs
1000;1;179.533µs
1000;1;115.785µs
1000;1;115.907µs
1000;1;117.331µs
1000;1;120.171µs
1000;1;116.767µs
1000;1;156.618µs
1000;1;171.157µs
1000;1;172.673µs
1000;1;173.044µs
10000;1;1.488838ms
10000;1;1.560618ms
10000;1;1.584818ms
10000;1;1.943181ms
10000;1;1.537394ms
10000;1;1.548899ms
10000;1;1.507551ms
10000;1;1.820944ms
10000;1;1.807736ms
10000;1;1.592078ms
25000;1;4.725825ms
25000;1;4.465047ms
25000;1;4.175497ms
25000;1;4.078565ms
25000;1;4.282516ms
25000;1;4.121368ms
25000;1;4.181594ms
25000;1;4.336845ms
25000;1;5.038782ms
25000;1;4.599129ms
50000;1;10.194317ms
50000;1;8.973245ms
50000;1;9.51538ms
50000;1;9.406967ms
50000;1;8.944492ms
50000;1;9.348655ms
50000;1;9.701456ms
50000;1;8.902953ms
50000;1;9.16897ms
50000;1;8.977241ms
100000;1;21.167887ms
100000;1;19.456214ms
100000;1;21.193122ms
100000;1;20.914155ms
100000;1;20.055975ms
100000;1;19.392424ms
100000;1;20.026714ms
100000;1;19.777486ms
100000;1;19.152985ms
100000;1;19.470311ms
250000;1;51.548656ms
250000;1;50.459827ms
250000;1;51.424973ms
250000;1;52.079704ms
250000;1;55.595903ms
250000;1;50.876391ms
250000;1;51.373523ms
250000;1;51.061593ms
250000;1;54.39037ms
250000;1;52.088384ms
500000;1;106.650919ms
500000;1;109.237129ms
500000;1;106.774583ms
500000;1;107.492507ms
500000;1;107.256482ms
500000;1;108.125326ms
500000;1;107.677002ms
500000;1;108.289762ms
500000;1;108.768571ms
500000;1;107.97725ms
1000000;1;224.530095ms
1000000;1;225.718849ms
1000000;1;245.992331ms
1000000;1;239.899361ms
1000000;1;235.975611ms
1000000;1;233.964842ms
1000000;1;234.60228ms
1000000;1;230.209754ms
1000000;1;244.240702ms
1000000;1;236.262672ms
