10;1;332ns
10;1;361ns
10;1;343ns
10;1;418ns
10;1;338ns
10;1;377ns
10;1;472ns
10;1;515ns
10;1;405ns
10;1;406ns
100;1;5.453µs
100;1;5.27µs
100;1;4.457µs
100;1;4.457µs
100;1;4.568µs
100;1;4.495µs
100;1;4.355µs
100;1;4.53µs
100;1;4.97µs
100;1;4.886µs
1000;1;55.867µs
1000;1;77.624µs
1000;1;55.887µs
1000;1;56.641µs
1000;1;56.044µs
1000;1;51.374µs
1000;1;51.498µs
1000;1;53.555µs
1000;1;51.869µs
1000;1;50.933µs
10000;1;617.2µs
10000;1;677.414µs
10000;1;622.825µs
10000;1;612.444µs
10000;1;618.638µs
10000;1;614.888µs
10000;1;591.231µs
10000;1;586.855µs
10000;1;526.357µs
10000;1;571.303µs
25000;1;1.469532ms
25000;1;1.65042ms
25000;1;1.624685ms
25000;1;1.451861ms
25000;1;1.469324ms
25000;1;1.84906ms
25000;1;1.488535ms
25000;1;1.452818ms
25000;1;1.821872ms
25000;1;2.009445ms
50000;1;3.943377ms
50000;1;3.065813ms
50000;1;3.628687ms
50000;1;3.151733ms
50000;1;3.15102ms
50000;1;3.78003ms
50000;1;3.410895ms
50000;1;3.525836ms
50000;1;3.471516ms
50000;1;3.054041ms
100000;1;6.571685ms
100000;1;7.063127ms
100000;1;8.363079ms
100000;1;7.515411ms
100000;1;7.290895ms
100000;1;8.405073ms
100000;1;6.548491ms
100000;1;7.420328ms
100000;1;8.17467ms
100000;1;6.731896ms
250000;1;17.631136ms
250000;1;18.964805ms
250000;1;18.788615ms
250000;1;18.722188ms
250000;1;17.573659ms
250000;1;18.116769ms
250000;1;19.515897ms
250000;1;18.274483ms
250000;1;19.911177ms
250000;1;19.661804ms
500000;1;40.137084ms
500000;1;39.928384ms
500000;1;39.854095ms
500000;1;39.123144ms
500000;1;39.199221ms
500000;1;37.691114ms
500000;1;38.043439ms
500000;1;39.174468ms
500000;1;37.180294ms
500000;1;39.555993ms
1000000;1;78.486205ms
1000000;1;78.824854ms
1000000;1;79.128668ms
1000000;1;79.453224ms
1000000;1;79.809099ms
1000000;1;79.836038ms
1000000;1;78.463663ms
1000000;1;79.666669ms
1000000;1;78.606214ms
1000000;1;82.591603ms
